SKU;Nome;NCM
1071580500;AÇUCAR EM OLEO CACAU E UCUUBA 500 G - AVATIN;33012990
sor008;Adicional- Calda de Chocolate;19019090
sor009;Adicional- Cauda de Caramelo;21069090
sov012;Adicional- Granulados;18069000
sor007;Affogato ao cafe;21011110
ÁGUA001;ÁGUA MINERAL C/ GÁS - PRATA;22011000
AGMINE;AGUA MINERAL PRATA;22011000
ÁGUA002;ÁGUA MINERAL S/ GÁS  - PRATA;22011000
1031071101;AGUA PERFUMADA P/ ROUPAS - Alecrim - 1100 ML;33030020
1030491100;AGUA PERFUMADA P/ ROUPAS - FLOR DE ALGODÃO - 1100 ML;33030020
1031041000;AGUA PERFUMADA P/ ROUPAS - LAVANDA & AMBAR - 1000 ML;33030020
ERVA15;ALCACHOFRA FOLHA / 250G;07099100
ALFJ003;ALFAJOR: BRIGADEIRO (50G);19059090
ALFJ001;ALFAJOR: DOCE DE LEITE (50G);19059090
ALFJ002;ALFAJOR: PISTACHE (50G);19059090
ERVA58;ALFAZEMA AZUL / 100G;12119090
853;ALOEGEL 1KG  - LASZLO;33049910
1372;AMINNU LIVRE DE XILITOL LIMÃO (30 SACHES / 10g);21069030
1368;AMINNU LIVRE DE XILITOL TANGERINA (30 SACHES / 10g);21069030
MC081007;ANSHEN JIAONANG - TAIMIN;21069030
ERVA49;ARTEMISIA FOLHA PCT / 500G;12119090
ERVA18;ASSA PEIXE FOLHA PCT / 250G;12119090
0010010016;ASTAXANTINA 100% VEGETAL - 60 CAP - 405 MG;21069090
MC018054;BA ZHEN WAN - TAIMIN;21069090
ERVA42;BARBATIMAO / 250G;12119090
BARR46MUSHIN;BARRINHA MUSHBAR MOCACCINO (45g) - MUSHIN;21069030
MUB0002;BARRINHA MUSHBAR MOCACCINO (CX. 12 UNID. / 45g) - MUSHIN;21069030
BARRINH002;BARRINHA NUTRATA SENSATIONS (70G);21069030
BARPROT001;BARRINHA PROTEIN INTEGRAL MED;21069030
BARR45MUSHIN;BARRINHA VANILLA GRAPE (45g) - MUSHIN;21069030
MUB0001;BARRINHA VANILLA GRAPE (CX. 12 UNID. / 45g) - MUSHIN;21069030
ERVA51;BENJOIM / 500G;13019090
1203;BIO B-COMPLEX 120 CAP. - CENTRAL NUTRITION;21069030
1352;BIO B12 GOTAS 30ML - CENTRAL NUTRITION;21069030
BIOSHO240;BIO SHOT (240g);21069030
BISCOITO;BISCOITO GERGELIM;19059020
BOLO001;BOLO DE CHOCOLATE;19059090
408;BOM CICLO 60 CAP. 1000MG - CENTRAL NUTRITION;21069030
ERVA52;BREU / 500G;90011019
BROWN001;BROWNIE LOW CARB (60G);19059090
BROWN002;BROWNIES BITES (90G);19059090
COFFE 05;CAFÉ COADO;21011200
COFFE 06;CAFÉ EXPRESSO;21011200
PROT001CHOC;CAIXA  C/ 15 UNID. DE DISPLAY DE PROTEINA VEGETAL CHOCOLATE (30g) - OCEAN DROP;21069030
PROT001BAUNILHA;CAIXA C/ 15UNID. DE DISPLAY  DE PROTEINA VEGETAL BAUNILHA (30g) - OCEAN DROP;21069030
CXCOLAG001;CAIXA COLAGENO SKIN AND HAIR (10 UNID.)- MIYA KEA;21069030
CXSABVINHO001;CAIXA SAB. VINHO - PHEBO;34011190
0010030021;CALCIO DE ALGA - 120 TABLET - 1000 MG;21069030
ERVA34;CANELA CH PCT / 250G;09061100
ERVA01;CARDAMOMO SEMENTE / 500 GR;09083100
ERVA35;CASTANHA DA INDIA INTEIRA;08013200
ERVA27;CATUABA CASCA PCT / 250G;09021000
CHÁ0000;Chá da Beleza (Pêssego);09023000
CHÁ 09;CHÁ DA JUVENTUDE (Chá de Folha de Amora);21069030
CHÁ 00;Chá da Mulher (Goji Berry, Amora e Rosas);21069030
CHÁ 07;CHÁ DA TRANQUILIDADE INTERNA (Folha de ameixa e especiarias chinesas);21069030
CHÁ 01;CHÁ DA VITALIDADE (Chá de Codonopsis Radix Polugonatum Mulberry);09023000
CHÁ 13;Chá de Ginseng e Ervas Tônicas;21069030
CHÁ 29;Chá de Poria com Jujuba Azedo;09023000
CHÁ 00;Chá Detox de Dente de Leão;21069030
CHÁ 08;CHÁ DIGESTIVO (Alcaçuz - Chá Licorice Fragrant Barley);21069030
CHÁ 12;CHÁ DO CONFORTO (Chá Brown Sugar Ginger Jujube);09023000
CHÁ 05;CHÁ ELEGANCIA ORIENTAL (Chá de Jasmim Oolong);09023000
CHÁ 03;CHÁ ENCANTO ORIENTAL (Chá de Flores e Frutas - Hong Ling / Qing Xia / Qing Ai de Lan);21069030
CHÁ 10;CHÁ ESSENCIAL (Chá Verde);09021000
CHÁ 24;Chá Fermentado;09023000
CHÁ 06;CHÁ FLORESCER (Chá de Osmanthus Oolong);09023000
2252FA;CHÁ GELADO - CAPIM-LIMÃO C/ FRUTAS AMARELAS (LATA 269 ml);21012010
2146FV;CHÁ GELADO - CAPIM-LIMÃO C/ FRUTAS VERMELHAS (LATA 269 ml);21012010
2160HP;CHÁ GELADO - HIBISCO C/ PESSEGO (LATA 269 ml);21012010
2177ML;CHÁ GELADO - MATE C/ LIMÃO (LATA 269 ml);21012010
2153VT;CHÁ GELADO - VERDE C/ TANGERINA (LATA 269 ml);21012010
CHÁ 04;CHÁ IMPERIAL (Chá de Ganoderma e Osmanthus);21069030
CHÁ 25;Chá Infusão Herbal (Pu Gong Ying Yu Mi Xu Cha);21069030
CHÁ 11;CHÁ REFORÇO VITAL NUTRITIVO (Chá Nourishing - Pêra, Figo, Gojiberry, Cascas de Laranja);09023000
CHÁ 02;CHÁ SERENIDADE (Chá de Espinheiro com Cássia);21069030
MC018060;CHUAN XIONG CHA TIAO WAN - TAIMIN;21069030
ERVA29;CIPO SUMA PCT / 250G;13021999
ERVA41;COENTRO GRAO PCT / 250G;09092100
1188;COENZIMA Q10 60 CAP. 100 MG - CENTRAL NUTRITION;21069030
1189;COENZIMA Q10 60 CAP. 200 MG - CENTRAL NUTRITION;21069030
0070010024;COENZIMA Q10 60 CAP. 500 MG - OCEAN DROP;21069030
COLAG001;COLAGENO SKIN AND HAIR - MIYA KEA;21069030
1100;COLLCREATINE LIMÃO LATA 500G - CENTRAL NUTRITION;21069030
1099;COLLCREATINE TANGERINA LATA 500G - CENTRAL NUTRITION;21069030
COLBEBEDOCE001;COLONIA BEBE E DOCE 100ML - GRANADO;33030020
COLIMÃOSICI001;COLONIA DE LIMÃO SICILIANO 200ML - PHEBO;33072010
COLGERANIO001;COLONIA GERANIO 200ML - PHEBO;33072010
CONDPET001;COND. DESEMBARACADOR PET 500ML - GRANADO;33059000
101;CONDICIONADOR DE BURITI E CUPUAÇU - SOLO FERTIL;34011190
COOK001;COOKIE BITES (90G);19059090
ERVA38;CRAVO DA INDIA PCT / 250G;09071000
SUPCREA300G;CREA SHOT (300g);21069030
1092;CREATINA MONOHIDRATA LATA 100G - CENTRAL NUTRITION;21069030
1071580200;CREME DE MANTEIGA - CACAU E UCUUBA - 200 G;33049990
CRMEDT001;CREME DENTAL HERBAL MELALEUCA E MENTAL PHYTO;33061000
ERVA33;CUMARU SEMENTE PCT / 1KG;44039900
0070010037;CURCUMA - 60 CAPSULAS - 500 MG;21069030
SACHÊCOFFEE;CX. 10 UNID. SACHÊ MUSHROOM COFFEE (10g) - MUSHIN;21069090
RET00024;CX. SUPERFOODS: AÇAI E CAMU-CAMU (10 UNID. SACHE) - MAHTA;21069010
CXSACHECACAUMAHTA;CX. SUPERFOODS: CACAU SELVAGEM (10 UNID. SACHE) - MAHTA;21069010
HER2512;DESODORANTE ROLLON ROSA MOSQUETA 50ML - HERBIA;33072090
DIF002;DIFUSOR CHA BRANCO 250ML - GRANADO;33029099
1040800100;DIFUSOR DE ESSENCIAS - ALECRIM & CAPIM LIMÃO - 100 ML;33074900
1042310420;DIFUSOR DE ESSENCIAS - APOGEU - 420 ML;33019010
1050009358;DIFUSOR DE ESSENCIAS - JARDIM BRASIL;33019010
DIF003;DIFUSOR DE GENGIBRE 250ML - GRANADO;33029099
DIF001;DIFUSOR DE LAVANDA 250ML - GRANADO;33029099
PRD00344;DISPLAY PROTEINA VEGETAL BAUNILHA  (30g);21069030
PRD00345;DISPLAY PROTEINA VEGETAL CHOCOLATE (30g);21069030
ERVA31;EMBURANA CASCA PCT / 250G;12119090
EMP004;EMPADA FUNC. ALHO PORO;19059090
EMP006;EMPADA FUNC. PALMITO C/ TOMATE SECO;19059090
EMP005;EMPADA FUNC. QUEIJO DO REINO;19059090
EMP003;EMPANADA DE GORGONZOLA E NOZES;21069090
EMP001;EMPANADA DE MARGUERITA;21069090
EMP002;EMPANADA DE QUEIJO E CEBOLA;21069090
1070760300;EMULSAO HIDRATANTE - FLOR DE CEREJEIRA - 300 ML;33049910
1360;ENERGY ATP - (TANGERINA / 10g);21069030
EXAGB001;ENXAG. BUCAL HERBAL MELALEUCA E MENTA - PHYTO;33069000
ERVA46;ERVA BALEEIRA / 250G;12119090
ERVA53;ERVA DOCE / 100G;09096110
727;ESFOLIANTE CRISTAL PEELING 240MG - LASZLO;33049910
ERVA37;ESP SANTA VERDADEIRA PCT / 250G;12119090
HER3054;ESPUMA DE LIMPEZA FACIAL 50ML - HERBIA;33049990
1040550030;ESSENCIA CONCENTRADA - ALECRIM - 30 ML;33019010
1041070030;ESSENCIA CONCENTRADA - BAMBU - 30 ML;33019010
1040020030;ESSENCIA CONCENTRADA - CASCAS & FOLHAS - 30 ML;33019010
ERVA39;EUCALIPTO CITRO FOLHA PCT / 250g;44039800
114;FACE OIL - SOLO FERTIL;33049910
OAT002;FANTASTIC OAT DE BANANA E CARAMELO (40g) - MUSHIN;11041200
OAT003;FANTASTIC OAT DE FRUTAS VERMERLHAS (40g) - MUSHIN;11041200
OAT001;FANTASTIC OAT DE MAÇÂ (40g) - MUSHIN;11041200
TORTA 5;FATIA - TORTA DE LIMÃO;23063010
TORTA 4;FATIA - TORTA DE MAÇÃ;19059090
TORTA 1;FATIA TORTA - CHEESECAKE TOFU E FRUTAS VERMELHAS;23063010
TORTA 2;FATIA TORTA - QUICHE DE ALHO PORÓ;19059090
TORTA 3;FATIA TORTA - QUICHE DE TOMATE E MANJERICÃO;19022000
PRD00274;FENO GREGO - 120 CAPSULAS - 500 MG;21069030
ERVA57;FLOR DE CAMOMILA / 100G;12119090
MCO81005;FU FANG YI MU CAO JIAONANG - TAIMIN;21069030
1090010300;GEL DE BANHO - LAVANDA - 300 G;34013000
GELDENT001;GEL DENTAL HERBAL INFT. FRUTAS VERMELHAS;33061000
ERVA09;GENGIBRE RAIZ PCT / 500G;09101100
0130010008;GLUTAMINA EM PÓ - 250 MG;21069030
PRD00183;GREEN SHOT EM PÓ - 180G;21069030
ERVA59;GUARANA EM PÓ;21069030
ERVA47;GUARANA GRAO PCT / 100G;12119090
ERVA28;GUARANA GRAO PCT / 500G;12119090
742;GUARDIAN (LIMÃO);21069030
1050;GUARDIAN (SEM SABOR);21069030
743;GUARDIAN (TANGERINA);21069030
MC018002;GUI PI WAN - TAIMIN;21069090
MC081001;GUIFU DIHUANG JIAONANG - TAIMIN;21069030
MC081002;GUIZHI FULING PIAN - TAIMIN;21069090
CXDH2GELCAF;H2GEL CAF 74,4g (CX. 12 UNID) - XTRATUS;21069030
CXDH2GELNEUT;H2GEL NEUTRO 75g (CX. 12 UNID) - XTRATUS;21069030
ERVA04;HIBISCO FLOR PCT / 250G;12119090
2201;HIDROLATO DE ALECRIM 100ML - LASZLO;33019030
SUPABA1KG;INTRATREINO (ABACAXI COM HORTELÃ / 1kg) - XTRATUS;21069030
ERVA13;IPE ROXO RASURADO PCT / 500G;44072920
ERVA14;JALAPA CASCA PCT / 500G;12119090
ERVA20;JAPECANGA PCT / 250G;07109000
ERVA08;JATOBA FRUTO / 500G;08109090
1050839310;KIT DIA A DIA - CHA VERDE & ERVAS;34013000
1051509501;KIT MINI GIGI - SERIE 3;33049990
1052089502;KIT MINI GIGI LAZULI;33049990
KITSHAMPCONDREF001;KIT SHAMP. COND. REFIL 250ML - GRANADO;33051000
KITVIAGBEBE001;KIT VIAGEM DE MINIATURA BEBE - GRANADO;33049990
251;LATINHA COBRE - SOLO FERTIL;73102990
250;LATINHA PRATA - SOLO FERTIL;73102990
COFFEMUSHI001;LATTE COFFE - MUSHIN;21069090
RET00003;LEITE EM PÓ DE CASTANHA DO BRASIL (240G)  - MAHTA;21069030
RET00006;LEITE EM PÓ DE CASTANHA DO BRASIL (600G) - MAHTA;21069030
1299;LEVSENSI (EMAGRECEDOR) LATA 380G - CENTRAL NUTRITION;21069030
ERVA03;LINHAÇA MARROM SEMENTE / 1KG;12040090
MC018014;LIU WEI DI HUANG WAN - TAIMIN;21069090
2073518730163;Livro: Dicionário Ilustrado de Identificação de Materiais Medicinais Chineses;49019900
ERVA36;LOURO TURCO PCT / 250G;44072940
ERVA12;MACA DE ELEFANTE / 500G;08081000
1296;MACAPURE  AMARELA (MACA PERUANA) 150G - CENTRAL NUTRITION;11062000
1295;MACAPURE PRETA (MACA PERUANA) 150G - CENTRAL NUTRITION;11062000
ERVA21;MACELA SEMENTE PCT / 250G;12092900
MAGNESIOPLUS;MAGNESIO PLUS - 180 CAPSULAS - 900 MG;21069030
RET00005;MAHTA COFFEE (220G)  - MAHTA;21069030
RET00013;MAHTA COFFEE CACAU (220G) - MAHTA;21069030
2;MANTEIGA KARITÉ 100G - LASZLO;33049910
782;MANTEIGA MANGA 100G - LASZLO;33049910
0070010013;MATCHA EM PÓ - 125G;09022000
MEL001;MEL FLORES DE LARANJEIRA (300G);04090000
