"Id";"Nome";"SKU";"Formato"
"16587500737";"Superfoods Amazonicos Mahta";"MAH-SUPER-PAI";"V"
"16587500526";"Hidrolato Laszlo";"LAS-HIDR-PAI";"V"
"16587500509";"Manteiga Vegetal Laszlo";"LAS-MANT-PAI";"V"
"16587500219";"Colonia Bebe Granado";"GRA-COL-BEBE";"V"
"16587500209";"Vela Perfumada Granado";"GRA-VELA-PAI";"V"
"16587500199";"Shampoo Pet Granado";"GRA-SHAMP-PET";"V"
"16587499428";"Base Solida Multifuncional 3 em 1 - Amokarite";"AMO-BS3-MASTER";"V"
"16587499178";"Base Solida 3 em 1 Amokarite";"AMO-BS3-PAI";"V"
"16527674546";"Sabonete em Barra de Glicerina Granado Bebê Camomila 90g";"";"S"
"16527673352";"Colônia Phebo Gerânio Bourbon 200ml";"";"S"
"16527671651";"Sabonete em Barra Phebo Gerânio Bourbon 100g";"";"S"
"16527668787";"Colônia Granado Bebê Erva-doce 100ml";"";"S"
"16527667236";"Refil Sabonete Líquido de Glicerina Granado Calêndula 300ml";"";"S"
"16527666551";"Sabonete Líquido de Glicerina Granado Bebê Lavanda 500ml";"";"S"
"16527658545";"Kit Miniaturas Bebê Tradicional";"";"S"
"16526467143";"Óleo Essencial de de Alecrim QT Cânfora Espanha 10ml";"";"S"
"16524828201";"Óleo Essencial Bergamota GT Brasil 10 ml";"";"S"
"16524827995";"Óleo Essencial Bergamota GT Brasil 10 ml";"";"S"
"16524826977";"Oleorresina Sangue-de-Dragão GT Brasil 10 ml";"";"S"
"16524826325";"Óleo Essencial Lavanda-Fina GT Bulgária 10 ml";"";"S"
"16524825258";"Óleo Essencial Tea Tree (Melaleuca) GT Brasil 10 ml";"";"S"
"16524824021";"Óleo Essencial Lavanda-Fina GT Bulgária 10 ml";"";"S"
"16524823109";"Óleo Essencial Hortelã-Pimenta GT EUA/ Índia 10 ml";"";"S"
"16524822287";"Óleo Essencial Eucalipto-Glóbulus (85/90%) GT Brasil 10 ml";"";"S"
"16524820529";"Óleo Essencial de Capim-Limão GT Brasil 10ml";"";"S"
"16524819766";"Óleo Essencial de de Alecrim QT Cânfora Espanha 10ml";"";"S"
"16524818423";"Óleo Essencial Bergamota GT Brasil 10 ml";"";"S"
"16524817427";"Oleorresina Sangue-de-Dragão GT Brasil 10 ml";"";"S"
"16524816686";"Óleo Essencial Tea Tree (Melaleuca) GT Brasil 10 ml";"";"S"
"16524729311";"Óleo Essencial Lavanda-Fina GT Bulgária 10 ml";"";"S"
"16524728396";"Óleo Essencial Lavanda-Fina GT Bulgária 10 ml";"";"S"
"16524724923";"Óleo Essencial de de Alecrim QT Cânfora Espanha 10ml";"";"S"
"16524724169";"Óleo Essencial de de Alecrim QT Cânfora 10ml";"";"S"
"16524724161";"Óleo Essencial de Capim-Limão GT Brasil 10ml";"";"S"
"16524723288";"Sérum Cleópatra 30 ml";"";"S"
