ID;Código;Descrição
16587719933;	;SACHE - GUARDIAN LIMAO 85g
16587719868;GEN-DIV-16587719868	;Stroopwafel Wafel Holandes - Moinho Wafers
16587719848;GEN-CHA-16587719848	;Cha Da Tranquilidade Interna Folha De Ameixa E Especiarias Chinesas
16587500742;	;"Superfoods Amazonicos Mahta Sabor:Cupuacu e Castanha;Peso:360g"
16587500740;	;"Superfoods Amazonicos Mahta Sabor:Acai e Camu-Camu;Peso:360g"
16587500739;	;"Superfoods Amazonicos Mahta Sabor:Cacau Selvagem;Peso:360g"
16587500737;MAH-SUP-16587500737;Superfoods Amazonicos Mahta
16587500516;	;"Manteiga Vegetal Laszlo Tipo:Cupuacu;Peso:100g"
16587500514;	;"Manteiga Vegetal Laszlo Tipo:Cacau;Peso:100g"
16587500512;	;"Manteiga Vegetal Laszlo Tipo:Manga;Peso:100g"
16587500511;	;"Manteiga Vegetal Laszlo Tipo:Karite;Peso:100g"
16587500509;LAS-MAN-16587500509;Manteiga Vegetal Laszlo
16587500212;	;"Vela Perfumada Granado Fragrancia:Calendula;Peso:100g"
16587500211;	;"Vela Perfumada Granado Fragrancia:Cha Branco;Peso:180g"
16587500210;	;"Vela Perfumada Granado Fragrancia:Lavanda;Peso:180g"
16587500209;GRA-VEL-16587500209;Vela Perfumada Granado
16587499441;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:8.0
16587499440;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:7.0
16587499439;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:6.0
16587499438;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:5.5
16587499437;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.5
16587499436;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.25
16587499435;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:3.5
16587499433;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.5
16587499432;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.0
16587499431;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.5
16587499430;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.0
16587499429;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:0.5
16587499428;AMO-BAS-16587499428;Base Solida Multifuncional 3 em 1 - Amokarite
16527736807;	;Sabonete de Coco Granado Pets – 100g
16527736337;	;Sabonete de Coco Granado Pets – 100g
16527735568;	;Vela Perfumada Granado Lavanda – 180g
16527734003;	;Vela Perfumada Granado Lavanda – 180g
16527733381;	;Difusor de Ambientes Granado Chá Branco – 250ml
16527733380;	;Difusor de Ambientes Granado Lavanda – 250ml
16527732744;	;Difusor de Ambientes Granado Lavanda – 250ml
16527731465;	;Kit Miniaturas Bebê Tradicional
16527730909;	;Sabonete Líquido de Glicerina Granado Bebê Lavanda 500ml
16527730906;	;Colônia Granado Bebê Erva-doce 100ml
16527730903;	;Sabonete em Barra Phebo Gerânio Bourbon 100g
16527730902;	;Refil Sabonete Líquido de Glicerina Granado Calêndula 300ml
16527730300;	;Colônia Phebo Gerânio Bourbon 200ml
16527730299;	;Sabonete em Barra de Glicerina Granado Bebê Camomila 90g
16527730238;	;Sabonete em Barra de Glicerina Granado Lavanda 90g
16527729803;	;Sabonete em Barra de Glicerina Phebo Odor de Rosas – 90g
16527729801;	;Shampoo Pet Granado Desembaraçador para Pelos Longos – 500ml
16527729800;	;Sabonete Líquido de Glicerina Granado Calêndula – 300ml
16527729797;	;Sabonete em Barra de Glicerina Granado Bebê Erva-doce – 90g
16527729661;	;Shampoo Pet Neutro Granado – 500ml
16527729660;	;Difusor de Ambientes Granado Gengibre – 250ml
16527729658;	;Condicionador Pet Granado Desembaraçador para Pelos Longos – 500ml
16527729656;	;Shampoo Suave Granado para Filhotes – 500ml
16527729653;	;Vela Perfumada Granado Chá Branco – 180g
16527720342;	;Difusor de Ambientes Granado Chá Branco – 250ml
16527719682;	;Difusor de Ambientes Granado Chá Branco – 250ml
16527718703;	;Difusor de Ambientes Granado Chá Branco – 250ml
16527715064;	;Sabonete de Glicerina Granado para Pets – 90g
16527713776;	;Vela Perfumada Granado Chá Branco – 180g
16527712668;	;Difusor de Ambientes Granado Gengibre – 250ml
16527711837;	;Shampoo Pet Neutro Granado – 500ml
16527710945;	;Shampoo Suave Granado para Filhotes – 500ml
16527686614;	;Condicionador Pet Granado Desembaraçador para Pelos Longos – 500ml
16527686097;	;Sabonete em Barra de Glicerina Phebo Odor de Rosas – 90g
16527684799;	;Shampoo Pet Granado Desembaraçador para Pelos Longos – 500ml
16527682478;	;Sabonete Líquido de Glicerina Granado Calêndula – 300ml
16527680849;	;Colônia Granado Bebê Erva-doce 100ml
16527680848;	;Sabonete em Barra de Glicerina Granado Bebê Erva-doce – 90g
16527679501;	;Colônia Granado Bebê Erva-doce 100ml
16527676269;	;Sabonete em Barra de Glicerina Granado Lavanda 90g
16527674546;GRA-SAB-16527674546	;Sabonete Em Barra De Glicerina Granado Bebe Camomila 90g
16527673352;PHE-COL-16527673352	;Colonia Phebo Geranio Bourbon 200ml
16527671651;PHE-SAB-16527671651	;Sabonete Em Barra Phebo Geranio Bourbon 100g
16527668787;GRA-COL-16527668787	;Colonia Granado Bebe Erva Doce 100ml
16527667236;GRA-SAB-16527667236	;Refil Sabonete Liquido De Glicerina Granado Calendula 300ml
16527666551;GRA-SAB-16527666551	;Sabonete Liquido De Glicerina Granado Bebe Lavanda 500ml
16527658545;GEN-KIT-16527658545	;Kit Miniaturas Bebe Tradicional
16527464854;	;SABONETE DETOX NATURAL - SOLO FERTIL
16526467143;LAS-OLE-16526467143	;Oleo Essencial De Alecrim QT Canfora Espanha 10ml
16524828201;LAS-OLE-16524828201	;Oleo Essencial Bergamota GT Brasil 10ml
16524827995;LAS-OLE-16524827995	;Oleo Essencial Bergamota GT Brasil 10ml
16524826977;LAS-OLE-16524826977	;Oleorresina Sangue De Dragao GT Brasil 10ml
16524826325;LAS-OLE-16524826325	;Oleo Essencial Lavanda Fina GT Bulgaria 10ml
16524825258;LAS-OLE-16524825258	;Oleo Essencial Tea Tree Melaleuca GT Brasil 10ml
16524824021;LAS-OLE-16524824021	;Oleo Essencial Lavanda Fina GT Bulgaria 10ml
16524823109;LAS-OLE-16524823109	;Oleo Essencial Hortela Pimenta GT EUA India 10ml
16524822287;LAS-OLE-16524822287	;Oleo Essencial Eucalipto Globulus 85 90 GT Brasil 10ml
16524820529;LAS-OLE-16524820529	;Oleo Essencial De Capim Limao GT Brasil 10ml
16524819766;LAS-OLE-16524819766	;Oleo Essencial De Alecrim QT Canfora Espanha 10ml
16524818423;LAS-OLE-16524818423	;Oleo Essencial Bergamota GT Brasil 10ml
16524817427;LAS-OLE-16524817427	;Oleorresina Sangue De Dragao GT Brasil 10ml
16524816686;LAS-OLE-16524816686	;Oleo Essencial Tea Tree Melaleuca GT Brasil 10ml
16524729311;LAS-OLE-16524729311	;Oleo Essencial Lavanda Fina GT Bulgaria 10ml
16524728396;LAS-OLE-16524728396	;Oleo Essencial Lavanda-Fina GT Bulgaria 10ml
16524724923;LAS-OLE-16524724923	;Oleo Essencial De Alecrim QT Canfora Espanha 10ml
16524724169;LAS-OLE-16524724169	;Oleo Essencial De Alecrim QT Canfora 10ml
16524724161;LAS-OLE-16524724161	;Oleo Essencial De Capim-Limao GT Brasil 10ml
16524723146;LAS-OLE-16524723146	;Oleo Essencial Eucalipto-Globulus (85/90) GT Brasil 10ml
16524723084;LAS-OLE-16524723084	;Oleo Essencial Hortela-Pimenta GT EUA/ India 10ml
16524722419;LAS-OLE-16524722419	;Oleo Essencial Hortela-Pimenta GT EUA/ India 10ml
16524718071;LAS-OLE-16524718071	;Oleo Essencial Eucalipto-Globulus (85/90) GT Brasil 10ml
16524696325;LAS-OLE-16524696325	;Oleo Essencial De Capim-Limao GT Brasil 10ml
16524695696;LAS-OLE-16524695696	;Oleo Essencial De Alecrim QT Canfora 10ml
16524694276;LAS-OLE-16524694276	;Oleo Essencial De Capim-Limao GT Brasil 10ml
16524684807;LAS-OLE-16524684807	;Oleo Essencial De Alecrim QT Canfora (Rosmarinus Officinalis)
16524684210;LAS-OLE-16524684210	;Oleo Essencial De Alecrim QT Canfora (Rosmarinus Officinalis)
16524683502;LAS-OLE-16524683502	;Oleo Essencial De Alecrim QT Canfora (Rosmarinus Officinalis)
16515462857;GEN-DIV-16515462857	;Pre E Intratreino De Mate Verde - 1kg
16512308898;	;MUSHBAR VANILLA GRAPE- UNIDADE
16512308744;	;MUSHBAR VANILLA GRAPE - 12UN
16512303918;	;SHAMPOO FORTALECEDOR EM BARRA - JABORANDI & ALECRIM
16508199301;SOL-OLE-16508199301	;Oleo Facial Multifuncional - Solo Fertil
16508198544;SOL-OLE-16508198544	;Oleo Facial Multifuncional - Solo Fertil
16507075825;	;MushBar Vanilla Grape - 12un
16505344870;	;Shampoo Infantil
16505343284;	;Shampoo Infantil
16505342224;	;Shampoo Infantil
16505341866;	;Shampoo Infantil
16501545600;	;???? Shampoo Fortalecedor em Barra - Jaborandi & Alecrim
16501541798;	;???? Shampoo Fortalecedor em Barra - Jaborandi & Alecrim
16501186021;SOL-SAB-16501186021	;Sabonete Detox Natural - Solo Fertil
16501182901;GEN-SHA-16501182901	;Shampoo Nutritivo - Acai Jojoba
16501163421;SOL-SAB-16501163421	;Sabonete Detox Natural - Solo Fertil
16501163189;	;???? Sabonete Equilibrium - Facial e Corporal
16501153218;SOL-SAB-16501153218	;Sabonete Detox Natural - Solo Fertil
16500687643;SOL-OLE-16500687643	;Oleo Facial Multifuncional - Solo Fertil
16500686293;SOL-BAR-16500686293	;Condicionador Em Barra De Buriti - Solo Fertil
16500682306;SOL-BAR-16500682306	;Condicionador Em Barra De Buriti - Solo Fertil
16500447340;	;MushBar Vanilla Grape - 12un
16500447337;	;MushBar Vanilla Grape- Unidade
16500446854;	;Pasta Dental | Aloe Vera
16500445924;ENXBUCAL001               ;Enxaguante Bucal Herbal
16500444977;	;MushBar Vanilla Grape - 12un
16500444975;	;MushBar Vanilla Grape- Unidade
16494821449;	;MushBar Vanilla Grape - 12un
16468763066;CREDALOE        ;PASTA DENTAL | ALOE VERA
16461140956;ENXBUCAL001        ;ENXAGUANTE BUCAL HERBAL
16454725740;SHAKE06        ;SUCO RELAXANTE
16454725459;SHAKE05        ;SUCO DETOX
16454725122;GEN-CHA-16454725122	;Shake De Matcha Com Frutas Vermelhas
16454724375;GEN-DIV-16454724375	;Shake - Pre Treino Acai Com Laranja
16454723990;GEN-DIV-16454723990	;Shake - Pos Treino
16454723495;SHAKE04        ;SHAKE - MANGA C/ TAMARINDO
16398743902;GEN-CHA-16398743902	;Cha Codonopsis Radix Polugonatum Mulberry
16398743872;GEN-DIV-16398743872	;Cafe Expresso
16398743749;GEN-CHA-16398743749	;Cha Verde
16398743732;GEN-CHA-16398743732	;Cha Da Mulher (Goji Berry, Amora E Rosas)
16398743602;GEN-CHA-16398743602	;Cha De Jasmim Oolong
16398743478;GEN-CHA-16398743478	;Cha Inverno (Espinheiro, Sementes De Cassia E Melao)
16398743414;GEN-CHA-16398743414	;Cha Brown Sugar Ginger Jujube
16398743322;GEN-CHA-16398743322	;Cha Nourishing (Nutritivo)
16383136435;GEN-DIV-16383136435	;Milkshake Da Amazonia
16383136311;GEN-CHA-16383136311	;Cha De Alcacuz E Cevada
16383136296;GEN-CHA-16383136296	;Cha Detox Dente De Leao
16383136295;GEN-CHA-16383136295	;Cha De Poria Com Jujuba Azedo
16383136293;GEN-CHA-16383136293	;Cha De Osmanthus Oolong
16383136290;GEN-CHA-16383136290	;Cha De Ganoderma E Osmanthus
16383136289;GEN-CHA-16383136289	;Cha De Folha De Amora
16383136288;GEN-CHA-16383136288	;Cha De Flores E Frutas (Qing Xia)
16383136287;GEN-CHA-16383136287	;Cha De Flores E Frutas (Qing Ai De Lan)
16383136286;GEN-CHA-16383136286	;Cha De Flores E Frutas (Hong Ling)
16383136285;GEN-CHA-16383136285	;Cha De Espinheiro Com Cassia
16383136272;BARR001;BARRINHA VEGANA
