ID;Código;Descrição
16587719933;	;SACHE - GUARDIAN LIMAO 85g
16587719762;CEN-KIT-16587719762	;Kit Zip Lock Card De Lanc - Central Nutrition
16587500742;	;"Superfoods Amazonicos Mahta Sabor:Cupuacu e Castanha;Peso:360g"
16587500740;	;"Superfoods Amazonicos Mahta Sabor:Acai e Camu-Camu;Peso:360g"
16587500739;	;"Superfoods Amazonicos Mahta Sabor:Cacau Selvagem;Peso:360g"
16587500516;	;"Manteiga Vegetal Laszlo Tipo:Cupuacu;Peso:100g"
16587500514;	;"Manteiga Vegetal Laszlo Tipo:Cacau;Peso:100g"
16587500512;	;"Manteiga Vegetal Laszlo Tipo:Manga;Peso:100g"
16587500511;	;"Manteiga Vegetal Laszlo Tipo:Karite;Peso:100g"
16587500212;	;"Vela Perfumada Granado Fragrancia:Calendula;Peso:100g"
16587500211;	;"Vela Perfumada Granado Fragrancia:Cha Branco;Peso:180g"
16587500210;	;"Vela Perfumada Granado Fragrancia:Lavanda;Peso:180g"
16587499441;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:8.0
16587499440;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:7.0
16587499439;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:6.0
16587499438;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:5.5
16587499437;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.5
16587499436;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.25
16587499435;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:3.5
16587499433;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.5
16587499432;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.0
16587499431;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.5
16587499430;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.0
16587499429;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:0.5
16587489683;	;VISEIRA EM MICROFIBRA B2B - OCEAN DROP
16587489679;	;OCEAN BAG B2B - OCEAN DROP
16527676269;	;Sabonete em Barra de Glicerina Granado Lavanda 90g
16527464854;	;SABONETE DETOX NATURAL - SOLO FERTIL
16501163421;SOL-SAB-16501163421	;Sabonete Detox Natural - Solo Fertil
16501153218;SOL-SAB-16501153218	;Sabonete Detox Natural - Solo Fertil
16454564592;BROWN001LOWVEG	;BROWNIE LOW CARB 60G - VEGFOOD
