ID_Bling;Codigo_Bling;Descricao_Bling
16587719933;	;SACHE - GUARDIAN LIMAO 85g
16587719795;	;CX 10 UNID SACHE MUSHROOM COFFEE 10g - MUSHIN
16587719780;	;SACHE MUSHROOM COFFEE 10g - MUSHIN
16587719762;CEN-KIT-16587719762	;Kit Zip Lock Card De Lanc - Central Nutrition
16587715559;	;CX. SUPERFOODS AC AI E CAMU CAMU
16587500742;	;"Superfoods Amazonicos Mahta Sabor:Cupuacu e Castanha;Peso:360g"
16587500740;	;"Superfoods Amazonicos Mahta Sabor:Acai e Camu-Camu;Peso:360g"
16587500739;	;"Superfoods Amazonicos Mahta Sabor:Cacau Selvagem;Peso:360g"
16587500530;	;"Hidrolato Laszlo Tipo:Rosa;Volume:100ml"
16587500529;	;"Hidrolato Laszlo Tipo:Lavanda;Volume:100ml"
16587500528;	;"Hidrolato Laszlo Tipo:Alecrim;Volume:100ml"
16587500516;	;"Manteiga Vegetal Laszlo Tipo:Cupuacu;Peso:100g"
16587500514;	;"Manteiga Vegetal Laszlo Tipo:Cacau;Peso:100g"
16587500512;	;"Manteiga Vegetal Laszlo Tipo:Manga;Peso:100g"
16587500511;	;"Manteiga Vegetal Laszlo Tipo:Karite;Peso:100g"
16587500221;	;"Colonia Bebe Granado Fragrancia:Lavanda;Volume:100ml"
16587500220;	;"Colonia Bebe Granado Fragrancia:Erva Doce;Volume:100ml"
16587500212;	;"Vela Perfumada Granado Fragrancia:Calendula;Peso:100g"
16587500211;	;"Vela Perfumada Granado Fragrancia:Cha Branco;Peso:180g"
16587500210;	;"Vela Perfumada Granado Fragrancia:Lavanda;Peso:180g"
16587500203;	;"Shampoo Pet Granado Tipo:Desembaracador;Volume:500ml"
16587500201;	;"Shampoo Pet Granado Tipo:Suave;Volume:500ml"
16587500200;	;"Shampoo Pet Granado Tipo:Neutro;Volume:500ml"
16587499441;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:8.0
16587499440;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:7.0
16587499439;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:6.0
16587499438;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:5.5
16587499437;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.5
16587499436;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.25
16587499435;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:3.5
16587499433;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.5
16587499432;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.0
16587499431;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.5
16587499430;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.0
16587499429;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:0.5
16587499181;	;Base Solida 3 em 1 Amokarite Tom:2.0
16587499179;	;Base Solida 3 em 1 Amokarite Tom:1.0
16527676269;	;Sabonete em Barra de Glicerina Granado Lavanda 90g
16527464854;	;SABONETE DETOX NATURAL - SOLO FERTIL
16515460926;	;GEL CAF XTRATUS
16515460282;	;GEL CAF XTRATUS
16512308898;	;MUSHBAR VANILLA GRAPE- UNIDADE
16512308744;	;MUSHBAR VANILLA GRAPE - 12UN
16512308297; CONDBURITI001       ;CONDICIONADOR EM BARRA DE BURITI - SOLO FERTIL
16512307111;SABAONAT001;SABONETE DETOX NATURAL - SOLO FERTIL
16512306621;SABEQUI001   ;SABONETE EQUILIBRIUM - FACIAL & CORPORAL (SOLO FERTIL)
16512305145;SHAMPJABALE001;SHAMPOO FORTALECEDOR EM BARRA - JABORANDI & ALECRIM (SOLO FERTIL)
16512303918;	;SHAMPOO FORTALECEDOR EM BARRA - JABORANDI & ALECRIM
16512303363;SHAMPBABY001;SHAMPOO INFANTIL - SOLO FERTIL
16507075825;	;MushBar Vanilla Grape - 12un
16505344870;	;Shampoo Infantil
16505343284;	;Shampoo Infantil
16505342224;	;Shampoo Infantil
16505341866;	;Shampoo Infantil
16501545600;	;???? Shampoo Fortalecedor em Barra - Jaborandi & Alecrim
16501541798;	;???? Shampoo Fortalecedor em Barra - Jaborandi & Alecrim
16501163421;SOL-SAB-16501163421	;Sabonete Detox Natural - Solo Fertil
16501163189;	;???? Sabonete Equilibrium - Facial e Corporal
16501153218;SOL-SAB-16501153218	;Sabonete Detox Natural - Solo Fertil
16500447340;	;MushBar Vanilla Grape - 12un
16500447337;	;MushBar Vanilla Grape- Unidade
16500446854;	;Pasta Dental | Aloe Vera
16500445924;ENXBUCAL001               ;Enxaguante Bucal Herbal
16500444977;	;MushBar Vanilla Grape - 12un
16500444975;	;MushBar Vanilla Grape- Unidade
16494821449;	;MushBar Vanilla Grape - 12un
16468763066;CREDALOE        ;PASTA DENTAL | ALOE VERA
16461140956;ENXBUCAL001        ;ENXAGUANTE BUCAL HERBAL
16461103064;VITGOT001        ;VITAMINAS EM RESTAURE GOTAS CENTRAL NUTRITION LARANJA 15ML
16460882175;MUSHLT001COFE	;Coffee Mushroom Mushin
16459226397;CREAT001TANG;CREATINA COLLCREATINE 500G - CENTRAL NUTRITION TANGERINA 500G
16459204875;MUSHLT001COF	;MUSHROOM LATA 220G - MUSHIN SABOR:COFFEE 220G
16458849269;SACHE001TANG        ;SABOR TANGERINA
16456339797;PERF001HERBIA	;Perfume Trau Benjoim Natur
16454710209;PAOMEL001VEGFOOD	;PAO DE MEL 60G - VEGFOOD
16454703565;MACA002        ;Maca Peruana Preta
16454698693;DENT001PHYTO        ;GEL DENTAL HERBAL INFJ. FRUTAS VERMELHAS - PHYTO
16454695526;ESP001HERBIA;Espuma de Limpeza Facial
16454694979;EMP002SANTAQUEIJ	;EMPANADA - SANTA EMPANADA SABORES:QUEIJO E CEBOLA
