ID;Código;Descrição;Preço;Preço de custo
16587719933;	;SACHE - GUARDIAN LIMAO 85g;0,00;0,00
16587719795;	;CX 10 UNID SACHE MUSHROOM COFFEE 10g - MUSHIN;0,00;0,00
16587719780;	;SACHE MUSHROOM COFFEE 10g - MUSHIN;0,00;0,00
16587719762;CEN-KIT-16587719762	;Kit Zip Lock Card De Lanc - Central Nutrition;0,00;0,00
16587715559;	;CX. SUPERFOODS AC AI E CAMU CAMU;0,00;0,00
16587500742;	;"Superfoods Amazonicos Mahta Sabor:Cupuacu e Castanha;Peso:360g";0,00;0,00
16587500740;	;"Superfoods Amazonicos Mahta Sabor:Acai e Camu-Camu;Peso:360g";0,00;0,00
16587500739;	;"Superfoods Amazonicos Mahta Sabor:Cacau Selvagem;Peso:360g";0,00;0,00
16587500530;	;"Hidrolato Laszlo Tipo:Rosa;Volume:100ml";0,00;0,00
16587500529;	;"Hidrolato Laszlo Tipo:Lavanda;Volume:100ml";0,00;0,00
16587500528;	;"Hidrolato Laszlo Tipo:Alecrim;Volume:100ml";0,00;0,00
16587500516;	;"Manteiga Vegetal Laszlo Tipo:Cupuacu;Peso:100g";0,00;0,00
16587500514;	;"Manteiga Vegetal Laszlo Tipo:Cacau;Peso:100g";0,00;0,00
16587500512;	;"Manteiga Vegetal Laszlo Tipo:Manga;Peso:100g";0,00;0,00
16587500511;	;"Manteiga Vegetal Laszlo Tipo:Karite;Peso:100g";0,00;0,00
16587500221;	;"Colonia Bebe Granado Fragrancia:Lavanda;Volume:100ml";0,00;0,00
16587500220;	;"Colonia Bebe Granado Fragrancia:Erva Doce;Volume:100ml";0,00;0,00
16587500212;	;"Vela Perfumada Granado Fragrancia:Calendula;Peso:100g";0,00;0,00
16587500211;	;"Vela Perfumada Granado Fragrancia:Cha Branco;Peso:180g";0,00;0,00
16587500210;	;"Vela Perfumada Granado Fragrancia:Lavanda;Peso:180g";0,00;0,00
16587500203;	;"Shampoo Pet Granado Tipo:Desembaracador;Volume:500ml";0,00;0,00
16587500201;	;"Shampoo Pet Granado Tipo:Suave;Volume:500ml";0,00;0,00
16587500200;	;"Shampoo Pet Granado Tipo:Neutro;Volume:500ml";0,00;0,00
16587499441;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:8.0;0,00;0,00
16587499440;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:7.0;0,00;0,00
16587499439;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:6.0;0,00;0,00
16587499438;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:5.5;0,00;0,00
16587499437;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.5;0,00;0,00
16587499436;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:4.25;0,00;0,00
16587499435;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:3.5;0,00;0,00
16587499433;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.5;0,00;0,00
16587499432;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:2.0;0,00;0,00
16587499431;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.5;0,00;0,00
16587499430;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:1.0;0,00;0,00
16587499429;	;Base Solida Multifuncional 3 em 1 - Amokarite Tom:0.5;0,00;0,00
16587499181;	;Base Solida 3 em 1 Amokarite Tom:2.0;0,00;0,00
16587499179;	;Base Solida 3 em 1 Amokarite Tom:1.0;0,00;0,00
16587489683;	;VISEIRA EM MICROFIBRA B2B - OCEAN DROP;0,00;9,24
16587489679;	;OCEAN BAG B2B - OCEAN DROP;0,00;8,29
16527676269;	;Sabonete em Barra de Glicerina Granado Lavanda 90g;0,00;0,00
16527464854;	;SABONETE DETOX NATURAL - SOLO FERTIL;0,00;0,00
16501163421;SOL-SAB-16501163421	;Sabonete Detox Natural - Solo Fertil;0,00;0,00
16501153218;SOL-SAB-16501153218	;Sabonete Detox Natural - Solo Fertil;0,00;0,00
16454564592;BROWN001LOWVEG	;BROWNIE LOW CARB 60G - VEGFOOD;0,00;9,50
