"id","codigo","nome","formato"
"16587500737","MAH-SUPER-PAI","Superfoods Amazonicos Mahta","V"
"16587500526","LAS-HIDR-PAI","Hidrolato Laszlo","V"
"16587500509","LAS-MANT-PAI","Manteiga Vegetal Laszlo","V"
"16587500219","GRA-COL-BEBE","Colonia Bebe Granado","V"
"16587500209","GRA-VELA-PAI","Vela Perfumada Granado","V"
"16587500199","GRA-SHAMP-PET","Shampoo Pet Granado","V"
"16587499428","AMO-BS3-MASTER","Base Solida Multifuncional 3 em 1 - Amokarite","V"
"16587499178","AMO-BS3-PAI","Base Solida 3 em 1 Amokarite","V"
"16459222778","CREAT0001COLL","CREATINA COLLCREATINE 500G - CENTRAL NUTRITION","V"
"16459178236","SACHÊENER001","SACHÊ ENERGY ATP 10G - CENTRAL NUTRITION","V"
"16458849242","SACHE001","SACHÊ GUARDIAN - CENTRAL NUTRITION","V"
"16454720896","SACHEAMN001","SACHÊ AMINNU LIVRE DE XILITOL 10G - CENTRAL NUTRITION","V"
"16454692370","EMP002SANTA","EMPANADA - SANTA EMPANADA","V"
"16454689427","EMP001VEGFOOD","EMPADA FUNCIONAL - VEGFOOD","V"
"16454584188","SACHE001XTRATUS","DISPLAY PRÉ-INTRATREINO 90G - XTRATUS","V"
"16454517985","ALFJ001","ALFAJOR 50G - VEGFOOD","V"
"16443288335","SABOLIQ001","SABONETE LIQUIDO 400ML - AVATIM","V"
"16443288140","SUPEFODS360G","SUPERFOODS AMAZÔNICOS 360G - MAHTA","V"
"16443287920","PROT001","PROTEINA VEGETAL 450G - OCEAN DROP","V"
"16443287915","SUPEFODS840G","SUPERFOODS AMAZÔNICOS 840G - MAHTA","V"
"16438069798","MUSHLT001","MUSHROOM LATA 220G - MUSHIN","V"
"16432064954","APR1100","AGUA PERFUMADA P/ ROUPAS 1100 ML - AVATIM","V"
"16398744077","ESSE001","ESSENCIA CONCENTRADA 30ML - AVATIM","V"
"16398743797","CHÁLAT001","CHÁ GELADO BRAZO - LATA 269ML","V"
"16398743608","ENER001","ENERGY ATP (CX. 30 SACHÊS) - CENTRAL NUTRITION","V"
"16383136455","PERF003","PERFUME P/ INTERIORES 200 ML - AVATIM","V"
"16383136422","MAHTCOF001","COFFEE MAHTA 220G","V"
"16383136395","MINIKIT001AVATIN","MINI KIT GIGI","V"
"16383136375","GUAR001","GUARDIAN CENTRAL NUTRITION (CX. C/ 30 SACHÊS)","V"
"16383136345","SACHPROT001","SACHÊ PROTEINA VEGETAL 30G - OCEAN DROP","V"
"16383136318","CREAT001","COLLCREATINE LATA 500G - CENTRAL NUTRITION","V"
"16383136270","AMIN001","AMINNU LIVRE DE XILITOL (CX. C/ 30 SACHÊS) - CENTRAL NUTRITION","V"
