Fórmula (Pinyin),Nome Chinês,Indicação Principal (MTC),Aplicações Clínicas Baseadas em Evidências,Dosagem Usual,Evidência Científica (Resumo),DOI/Referência Principal,Nível de Evidência
Liu Wei Dihuang Wan,六味地黄丸,Deficiência de Yin Renal,"Osteoporose pós-menopausa (upregulação CLCF1, via JAK/STAT); FIV (melhora qualidade oócito); Doença renal diabética; Modulação neuroendócrina",8 pílulas 3x/dia ou conforme prescrição,"Meta-análises mostram eficácia em nefropatia diabética (redução creatinina, proteinúria 24h); Modulação via PTEN/AKT/mTOR",https://doi.org/10.1007/s11655-016-2744-2,Moderada-Alta
Xiao Yao Wan,逍遥散,Estagnação do Qi Hepático,"Depressão (modula neurotransmissores monoaminérgicos, inibe hiperatividade HPA, reduz neuroinflamação); Câncer de mama + depressão (via JAK2/STAT3)",8 pílulas 3x/dia,"Revisões sistemáticas demonstram melhora em modelos CUMS (consumo sacarose, tempo imobilidade); 299 compostos identificados via UPLC-Q-Orbitrap-MS",https://doi.org/10.1016/j.phymed.2023.155015,Alta
Gui Pi Wan,归脾丸,Deficiência de Sangue Baço-Coração,Suporte em oncologia (pós-cirurgia câncer cólon); Sintomas digestivos; Ansiedade e insônia por deficiência,8 pílulas 3x/dia,Frequentemente prescrita (2.4%) para sintomas digestivos em pacientes oncológicos,https://doi.org/10.1016/j.jep.2014.06.012,Baixa-Moderada
Ba Zhen Wan,八珍丸,Deficiência de Qi e Sangue,"Pós-cirurgia IFF (reduz sangramento oculto, estabiliza Hb, melhora Harris); Quimioterapia CCR (alivia mielossupressão); Comprometimento memória (restaura microbiota intestinal)",8 pílulas 3x/dia,"RCTs mostram melhora em leucopenia, redução Hb e trombocitopenia induzidas por quimio; Regula via CREB/NMDAR/ASK1/JNK",https://doi.org/10.1186/s13018-024-05379-3,Moderada
Guizhi Fuling Wan,桂枝茯苓丸,"Estase Sanguínea, Miomas Uterinos","Miomas uterinos (reduz volume, melhora sintomas); Fibrose hepática (atenua via PTEN/AKT/mTOR); Adenomiose (regula mitofagia PINK1/Parkin); Função vascular",6 pílulas 3x/dia,"Revisão sistemática: eficaz em modelos animais. RCT: doses baixas (250mg) e convencionais eficazes, perfil seguro",https://doi.org/10.1016/j.jep.2019.112177,Moderada-Alta
Yupingfeng Jiaonang,玉屏风胶囊,Wei Qi Deficiente (Imunidade),"DPOC (melhora FEV1% pred, FVC, sintomas MTC); Rinite alérgica (combinado com acupuntura); Infecções respiratórias recorrentes em crianças (imunomodulação)",3 cápsulas 3x/dia,"Meta-análise: combinado com tratamento convencional melhora significativamente DPOC (certeza moderada-alta). Aumenta IgA, IgG, IgM e linfócitos T CD3+",https://doi.org/10.1016/j.jep.2025.119441,Alta
Zhi Bai Di Huang Wan,知柏地黄丸,Deficiência Yin com Calor Vazio,Osteoporose (via AKT1/diosgenina); Nefropatia diabética (rede meta-análise); Nefroproteção (modelo zebrafish); Puberdade precoce (combinado com GnRHa),8 pílulas 3x/dia,"Network meta-análise: eficaz em reduzir glicemia jejum, creatinina sérica. Mecanismo via inibição fosforilação AKT1",https://doi.org/10.1097/MD.0000000000035290,Moderada
Wuzi Yanzong Pian,五子衍宗片,Infertilidade Masculina (Rim),"Oligoastenospermia (aumenta densidade espermática, motilidade, Ca²+ intracelular); Proteção testicular contra radiação ionizante; Melhora parâmetros seminais",5 comprimidos 2x/dia,Protocolo de revisão sistemática registrado. Estudos em ratos: aumenta Ca²+ esperma e mitocôndrias. RCT duplo-cego em andamento (Hong Kong),https://doi.org/10.1186/s13063-019-3647-2,Moderada
Chuan Xiong Cha Tiao Wan,川芎茶调丸,Cefaleia por Vento-Frio,Enxaqueca vestibular (fórmulas herbais); Enxaqueca (meta-análise em rede: granulados Chuanxiong Qingnao entre mais eficazes),6 pílulas 2x/dia,"Meta-análise de fórmulas herbais para enxaqueca: 33 RCTs, 2358 pacientes. Chuanxiong (川芎) entre os 5 herbs mais frequentes",https://doi.org/10.1016/j.phymed.2025.156864,Baixa-Moderada
Anshen Jiaonang,安神胶囊,"Insônia, Agitação","Insônia (aumenta episódios de sono, prolonga duração, reduz latência); Efeito sedativo-hipnótico",4 cápsulas antes de dormir,"Farmacologia de redes: alvos APOE, ALB, BDNF, PPARG, INS, TP53, TNF. Componentes: magnoflorina, liquiritina, espinosina, quercitrina, jujubosídeo A",https://doi.org/10.19540/j.cnki.cjcmm.20241216.501,Baixa-Moderada
